row	exp	sign	flag	sig68	label
37	0fff5	0	0	5b05c3dd3901cea50	0.0013888934 ≈1/6!
38	0fff2	0	0	6806988938f4f2318	0.0001984134 ≈1/7!
39	0fffe	0	0	40000000000000000	0.5 1/2! (exp Taylor series)
40	0fffc	0	0	5555555555555558e	0.1666666667 ≈1/3!
41	0fffa	0	0	5555555555555558b	0.0416666667 ≈1/4!
42	0fff8	0	0	444444444443db621	0.0083333333 ≈1/5!
43	0fff5	0	0	5b05b05b05afd42f4	0.0013888889 ≈1/6!
44	0fff2	0	0	68068068163b44194	0.0001984127 ≈1/7!
45	0ffef	0	0	6806806815d1b6d8a	0.0000248016 ≈1/8!
46	0ffec	0	0	5c778d8e0384c73ab	2.755731e-06 ≈1/9!
47	0ffe9	0	0	49f93e0ef41d6086b	2.755731e-07 ≈1/10!
48	0ffe5	0	0	6ba8b65b40f9c0ce8	2.506632e-08 ≈1/11!
49	0ffe2	0	0	47c5b695d0d1289a8	2.088849e-09 ≈1/12!
50	0fffd	0	0	6dfb23c651a2ef221	0.4296133384 2 66/128 -1
51	0fffd	0	0	75feb564267c8bf6f	0.4609177942 2 70/128 -1
52	0fffd	0	0	7e2f336cf4e62105d	0.4929077283 2 74/128 -1
53	0fffe	0	0	4346ccda249764072	0.5255981507 2 78/128 -1
54	0fffe	0	0	478d74c8abb9b15cc	0.5590044002 2 82/128 -1
55	0fffe	0	0	4bec14fef2727c5cf	0.5931421513 2 86/128 -1
56	0fffe	0	0	506333daef2b2594d	0.6280274219 2 90/128 -1
57	0fffe	0	0	54f35aabcfedfa1f6	0.6636765803 2 94/128 -1
58	0fffe	0	0	599d15c278afd7b60	0.7001063537 2 98/128 -1
59	0fffe	0	0	5e60f4825e0e9123e	0.7373338353 2 102/128 -1
60	0fffe	0	0	633f8972be8a5a511	0.7753764925 2 106/128 -1
61	0fffe	0	0	68396a503c4bdc688	0.8142521755 2 110/128 -1
62	0fffe	0	0	6d4f301ed9942b846	0.8539791251 2 114/128 -1
63	0fffe	0	0	7281773c59ffb139f	0.8945759816 2 118/128 -1
64	0fffe	0	0	77d0df730ad13bb90	0.9360617935 2 122/128 -1
65	0fffe	0	0	7d3e0c0cf486c1748	0.9784560264 2 126/128 -1
66	0fffc	0	0	642e1f899b0626a74	0.1956643920 2 33/128 -1
67	0fffc	0	0	6ad8abf253fe1928c	0.2086843236 2 35/128 -1
68	0fffc	0	0	7195cda0bb0cb0b54	0.2218460330 2 37/128 -1
69	0fffc	0	0	7865b862751c90800	0.2351510639 2 39/128 -1
70	0fffc	0	0	7f48a09590037417f	0.2486009772 2 41/128 -1
71	0fffd	0	0	431f5d950a896dc70	0.2621973504 2 43/128 -1
72	0fffd	0	0	46a41ed1d00577251	0.2759417784 2 45/128 -1
73	0fffd	0	0	4a32af0d7d3de672e	0.2898358734 2 47/128 -1
74	0fffd	0	0	4dcb299fddd0d63b3	0.3038812652 2 49/128 -1
75	0fffd	0	0	516daa2cf6641c113	0.3180796013 2 51/128 -1
76	0fffd	0	0	551a4ca5d920ec52f	0.3324325471 2 53/128 -1
77	0fffd	0	0	58d12d497c7fd252c	0.3469417862 2 55/128 -1
78	0fffd	0	0	5c9268a5946b701c5	0.3616090206 2 57/128 -1
79	0fffd	0	0	605e1b976dc08b077	0.3764359708 2 59/128 -1
80	0fffd	0	0	6434634ccc31fc770	0.3914243758 2 61/128 -1
81	0fffd	0	0	68155d44ca973081c	0.4065759938 2 63/128 -1
82	0fffd	1	0	4cee3bed56eedb76c	-0.3005101637 2 -66/128 -1
83	0fffd	1	0	50c4875296f5bc8b2	-0.3154987885 2 -70/128 -1
84	0fffd	1	0	5485c64a56c12cc8a	-0.3301662380 2 -74/128 -1
85	0fffd	1	0	58326c4b169aca966	-0.3445193942 2 -78/128 -1
86	0fffd	1	0	5bcaea51f6197f61f	-0.3585649920 2 -82/128 -1
87	0fffd	1	0	5f4faef0468eb03de	-0.3723096215 2 -86/128 -1
88	0fffd	1	0	62c12658d30048af2	-0.3857597319 2 -90/128 -1
89	0fffd	1	0	661fba6cdf48059b2	-0.3989216343 2 -94/128 -1
90	0fffd	1	0	696bd2c8dfe7a5ffb	-0.4118015042 2 -98/128 -1
91	0fffd	1	0	6ca5d4d0ec1916d43	-0.4244053850 2 -102/128 -1
92	0fffd	1	0	6fce23bceb994e239	-0.4367391907 2 -106/128 -1
93	0fffd	1	0	72e520a481a4561a5	-0.4488087083 2 -110/128 -1
94	0fffd	1	0	75eb2a8ab6910265f	-0.4606196011 2 -114/128 -1
95	0fffd	1	0	78e09e696172efefc	-0.4721774108 2 -118/128 -1
96	0fffd	1	0	7bc5d73c5321bfb9e	-0.4834875605 2 -122/128 -1
97	0fffd	1	0	7e9b2e0c43fcf88c8	-0.4945553570 2 -126/128 -1
98	0fffc	1	0	53c94402c0c863f24	-0.1636449102 2 -33/128 -1
99	0fffc	1	0	58661eccf4ca790d2	-0.1726541162 2 -35/128 -1
100	0fffc	1	0	5cf6413b5d2cca73f	-0.1815662751 2 -37/128 -1
101	0fffc	1	0	6179ce61cdcdce7db	-0.1903824324 2 -39/128 -1
102	0fffc	1	0	65f0e8f35f84645cf	-0.1991036222 2 -41/128 -1
103	0fffc	1	0	6a5bb3437adf1164b	-0.2077308674 2 -43/128 -1
104	0fffc	1	0	6eba4f46e003a775a	-0.2162651800 2 -45/128 -1
105	0fffc	1	0	730cde94abb7410d5	-0.2247075612 2 -47/128 -1
106	0fffc	1	0	775382675996699ad	-0.2330590011 2 -49/128 -1
107	0fffc	1	0	7b8e5b9dc385331ad	-0.2413204794 2 -51/128 -1
108	0fffc	1	0	7fbd8abc1e5ee49f2	-0.2494929652 2 -53/128 -1
109	0fffd	1	0	41f097f679f66c1db	-0.2575774171 2 -55/128 -1
110	0fffd	1	0	43fcb5810d1604f37	-0.2655747833 2 -57/128 -1
111	0fffd	1	0	46032dbad3f462152	-0.2734860021 2 -59/128 -1
112	0fffd	1	0	48041035735be183c	-0.2813120013 2 -61/128 -1
113	0fffd	1	0	49ff6c57a12a08945	-0.2890536989 2 -63/128 -1
114	0fffd	1	0	555555555555535f0	-0.3333333333 ≈-1/3 (arctan Taylor series)
115	0fffc	0	0	6666666664208b016	0.2 ≈ 1/5
116	0fffc	1	0	492491e0653ac37b8	-0.1428571307 ≈-1/7
117	0fffb	0	0	71b83f4133889b2f0	0.1110544094 ≈ 1/9
118	0fffd	1	0	55555555555555543	-0.3333333333 ≈-1/3 (arctan Taylor series)
119	0fffc	0	0	66666666666616b73	0.2 ≈ 1/5
120	0fffc	1	0	4924924920fca4493	-0.1428571429 ≈-1/7
121	0fffb	0	0	71c71c4be6f662c91	0.1111111089 ≈ 1/9
122	0fffb	1	0	5d16e0bde0b12eee8	-0.0909075848 ≈-1/11
123	0fffb	0	0	4e403be3e3c725aa0	0.0764169081 ≈ 1/13
124	00000	0	0	40000000000000000	single bit mask
125	0fff9	0	0	7ff556eea5d892a14	0.0312398334 arctan(1/32)
126	0fffa	0	0	7fd56edcb3f7a71b6	0.0624188100 arctan(2/32)
127	0fffb	0	0	5fb860980bc43a305	0.0934767812 arctan(3/32)
128	0fffb	0	0	7f56ea6ab0bdb7196	0.1243549945 arctan(4/32)
129	0fffc	0	0	4f5bbba31989b161a	0.1549967419 arctan(5/32)
130	0fffc	0	0	5ee5ed2f396c089a4	0.1853479500 arctan(6/32)
131	0fffc	0	0	6e435d4a498288118	0.2153576997 arctan(7/32)
132	0fffc	0	0	7d6dd7e4b203758ab	0.2449786631 arctan(8/32)
133	0fffd	0	0	462fd68c2fc5e0986	0.2741674511 arctan(9/32)
134	0fffd	0	0	4d89dcdc1faf2f34e	0.3028848684 arctan(10/32)
135	0fffd	0	0	54c2b6654735276d5	0.3310960767 arctan(11/32)
136	0fffd	0	0	5bd86507937bc239c	0.3587706703 arctan(12/32)
137	0fffd	0	0	62c934e5286c95b6d	0.3858826694 arctan(13/32)
138	0fffd	0	0	6993bb0f308ff2db2	0.4124104416 arctan(14/32)
139	0fffd	0	0	7036d3253b27be33e	0.4383365599 arctan(15/32)
140	0fffd	0	0	76b19c1586ed3da2b	0.4636476090 arctan(16/32)
141	0fffd	0	0	7d03742d50505f2e3	0.4883339511 arctan(17/32)
142	0fffe	0	0	4195fa536cc33f152	0.5123894603 arctan(18/32)
143	0fffe	0	0	4495766fef4aa3da8	0.5358112380 arctan(19/32)
144	0fffe	0	0	47802eaf7bfacfcdb	0.5585993153 arctan(20/32)
145	0fffe	0	0	4a563964c238c37b1	0.5807563536 arctan(21/32)
146	0fffe	0	0	4d17c07338deed102	0.6022873461 arctan(22/32)
147	0fffe	0	0	4fc4fee27a5bd0f68	0.6231993299 arctan(23/32)
148	0fffe	0	0	525e3e8c9a7b84921	0.6435011088 arctan(24/32)
149	0fffe	0	0	54e3d5ee24187ae45	0.6632029927 arctan(25/32)
150	0fffe	0	0	5756261c5a6c60401	0.6823165549 arctan(26/32)
151	0fffe	0	0	59b598e48f821b48b	0.7008544079 arctan(27/32)
152	0fffe	0	0	5c029f15e118cf39e	0.7188299996 arctan(28/32)
153	0fffe	0	0	5e3daef574c579407	0.7362574290 arctan(29/32)
154	0fffe	0	0	606742dc562933204	0.7531512810 arctan(30/32)
155	0fffe	0	0	627fd7fd5fc7deaa4	0.7695264804 arctan(31/32)
156	0fffe	0	0	6487ed5110b4611a6	0.7853981634 arctan(32/32)
157	0fffc	1	0	55555555555555555	-0.1666666667 ≈-1/3! (sin Taylor series)
158	0fff8	0	0	44444444444443e35	0.0083333333 ≈ 1/5!
159	0fff2	1	0	6806806806773c774	-0.0001984127 ≈-1/7!
160	0ffec	0	0	5c778e94f50956d70	2.755732e-06 ≈ 1/9!
161	0ffe5	1	0	6b991122efa0532f0	-2.505209e-08 ≈-1/11!
162	0ffde	0	0	58303f02614d5e4d8	1.604139e-10 ≈ 1/13!
163	0fffd	1	0	7fffffffffffffffe	-0.5 ≈-1/2! (cos Taylor series)
164	0fffa	0	0	55555555555554277	0.0416666667 ≈ 1/4!
165	0fff5	1	0	5b05b05b05a18a1ba	-0.0013888889 ≈-1/6!
166	0ffef	0	0	680680675b559f2cf	0.0000248016 ≈ 1/8!
167	0ffe9	1	0	49f93af61f5349300	-2.755730e-07 ≈-1/10!
168	0ffe2	0	0	47a4f2483514c1af8	2.085124e-09 ≈ 1/12!
169	0fffc	1	0	55555555555555445	-0.1666666667 ≈-1/3! (sin Taylor series)
170	0fff8	0	0	44444444443a3fdb6	0.0083333333 ≈ 1/5!
171	0fff2	1	0	68068060b2044e9ae	-0.0001984127 ≈-1/7!
172	0ffec	0	0	5d75716e60f321240	2.785288e-06 ≈ 1/9!
173	0fffd	1	0	7fffffffffffffa28	-0.5 ≈-1/2! (cos Taylor series)
174	0fffa	0	0	555555555539cfae6	0.0416666667 ≈ 1/4!
175	0fff5	1	0	5b05b050f31b2e713	-0.0013888889 ≈-1/6!
176	0ffef	0	0	6803988d56e3bff10	0.0000247989 ≈ 1/8!
177	0fffe	0	0	44434312da70edd92	0.5333026735 sin(36/64)
178	0fffe	0	0	513ace073ce1aac13	0.6346070800 sin(44/64)
179	0fffe	0	0	5cedda037a95df6ee	0.7260086553 sin(52/64)
180	0fffe	0	0	672daa6ef3992b586	0.8060811083 sin(60/64)
181	0fffd	0	0	470df5931ae1d9460	0.2775567516 sin(18/64)
182	0fffd	0	0	5646f27e8bd65cbe4	0.3370200690 sin(22/64)
183	0fffd	0	0	6529afa7d51b12963	0.3951673302 sin(26/64)
184	0fffd	0	0	73a74b8f52947b682	0.4517714715 sin(30/64)
185	0fffe	0	0	6c4741058a93188ef	0.8459244992 cos(36/64)
186	0fffe	0	0	62ec41e9772401864	0.7728350058 cos(44/64)
187	0fffe	0	0	5806149bd58f7d46d	0.6876855622 cos(52/64)
188	0fffe	0	0	4bc044c9908390c72	0.5918050751 cos(60/64)
189	0fffe	0	0	7af8853ddbbe9ffd0	0.9607092430 cos(18/64)
190	0fffe	0	0	7882fd26b35b03d34	0.9414974631 cos(22/64)
191	0fffe	0	0	7594fc1cf900fe89e	0.9186091558 cos(26/64)
192	0fffe	0	0	72316fe3386a10d5a	0.8921336994 cos(30/64)
193	0ffff	0	0	48000000000000000	1.125 9/8
194	0fffe	0	0	70000000000000000	0.875 7/8
195	0ffff	0	0	5c551d94ae0bf85de	1.4426950409 log 2 (e)
196	10000	0	0	5c551d94ae0bf85de	2.8853900818 2log 2 (e)
197	0fffb	0	0	7b1c2770e81287c11	0.1202245867 ≈1/(4 1 ⋅3⋅ln(2)) (atanh series for log)
198	0fff9	0	0	49ddb14064a5d30bd	0.0180336880 ≈1/(4 2 ⋅5⋅ln(2))
199	0fff6	0	0	698879b87934f12e0	0.0032206148 ≈1/(4 3 ⋅7⋅ln(2))
200	0fffa	0	0	51ff4ffeb20ed1749	0.0400377512 ≈(ln(2)/2) 2 /3 (atanh series for log)
201	0fff6	0	0	5e8cd07eb1827434a	0.0028854387 ≈(ln(2)/2) 4 /5
202	0fff3	0	0	40e54061b26dd6dc2	0.0002475567 ≈(ln(2)/2) 6 /7
203	0ffef	0	0	61008a69627c92fb9	0.0000231271 ≈(ln(2)/2) 8 /9
204	0ffec	0	0	4c41e6ced287a2468	2.272648e-06 ≈(ln(2)/2) 10 /11
205	0ffe8	0	0	7dadd4ea3c3fee620	2.340954e-07 ≈(ln(2)/2) 12 /13
206	0fff9	0	0	5b9e5a170b8000000	0.0223678130 log 2 (1+1/64) top bits
207	0fffb	0	0	43ace37e8a8000000	0.0660892054 log 2 (1+3/64) top bits
208	0fffb	0	0	6f210902b68000000	0.1085244568 log 2 (1+5/64) top bits
209	0fffc	0	0	4caba789e28000000	0.1497471195 log 2 (1+7/64) top bits
210	0fffc	0	0	6130af40bc0000000	0.1898245589 log 2 (1+9/64) top bits
211	0fffc	0	0	7527b930c98000000	0.2288186905 log 2 (1+11/64) top bits
212	0fffd	0	0	444c1f6b4c0000000	0.2667865407 log 2 (1+13/64) top bits
213	0fffd	0	0	4dc4933a930000000	0.3037807482 log 2 (1+15/64) top bits
214	0fffd	0	0	570068e7ef8000000	0.3398500029 log 2 (1+17/64) top bits
215	0fffd	0	0	6002958c588000000	0.3750394313 log 2 (1+19/64) top bits
216	0fffd	0	0	68cdd829fd8000000	0.4093909361 log 2 (1+21/64) top bits
217	0fffd	0	0	7164beb4a58000000	0.4429434958 log 2 (1+23/64) top bits
218	0fffd	0	0	79c9aa879d8000000	0.4757334310 log 2 (1+25/64) top bits
219	0fffe	0	0	40ff6a2e5e8000000	0.5077946402 log 2 (1+27/64) top bits
220	0fffe	0	0	450327ea878000000	0.5391588111 log 2 (1+29/64) top bits
221	0fffe	0	0	48f107509c8000000	0.5698556083 log 2 (1+31/64) top bits
222	0fffe	0	0	4cc9f1aad28000000	0.5999128422 log 2 (1+33/64) top bits
223	0fffe	0	0	508ec1fa618000000	0.6293566201 log 2 (1+35/64) top bits
224	0fffe	0	0	5440461c228000000	0.6582114828 log 2 (1+37/64) top bits
225	0fffe	0	0	57df3fd0780000000	0.6865005272 log 2 (1+39/64) top bits
226	0fffe	0	0	5b6c65a9d88000000	0.7142455177 log 2 (1+41/64) top bits
227	0fffe	0	0	5ee863e4d40000000	0.7414669864 log 2 (1+43/64) top bits
228	0fffe	0	0	6253dd2c1b8000000	0.7681843248 log 2 (1+45/64) top bits
229	0fffe	0	0	65af6b4ab30000000	0.7944158664 log 2 (1+47/64) top bits
230	0fffe	0	0	68fb9fce388000000	0.8201789624 log 2 (1+49/64) top bits
231	0fffe	0	0	6c39049af30000000	0.8454900509 log 2 (1+51/64) top bits
232	0fffe	0	0	6f681c731a0000000	0.8703647196 log 2 (1+53/64) top bits
233	0fffe	0	0	72896372a50000000	0.8948177633 log 2 (1+55/64) top bits
234	0fffe	0	0	759d4f80cb8000000	0.9188632373 log 2 (1+57/64) top bits
235	0fffe	0	0	78a450b8380000000	0.9425145053 log 2 (1+59/64) top bits
236	0fffe	0	0	7b9ed1c6ce8000000	0.9657842847 log 2 (1+61/64) top bits
237	0fffe	0	0	7e8d3845df0000000	0.9886846868 log 2 (1+63/64) top bits
238	0ffd0	1	0	6eb3ac8ec0ef73f7b	-1.229037e-14 log 2 (1+1/64) bottom bits
239	0ffcd	1	0	654c308b454666de9	-1.405787e-15 log 2 (1+3/64) bottom bits
240	0ffd2	0	0	5dd31d962d3728cbd	4.166652e-14 log 2 (1+5/64) bottom bits
241	0ffd3	0	0	70d0fa8f9603ad3a6	1.002010e-13 log 2 (1+7/64) bottom bits
242	0ffd1	0	0	765fba4491dcec753	2.628429e-14 log 2 (1+9/64) bottom bits
243	0ffd2	1	0	690370b4a9afdc5fb	-4.663533e-14 log 2 (1+11/64) bottom bits
244	0ffd4	0	0	5bae584b82d3cad27	1.628582e-13 log 2 (1+13/64) bottom bits
245	0ffd4	0	0	6f66cc899b64303f7	1.978889e-13 log 2 (1+15/64) bottom bits
246	0ffd4	1	0	4bc302ffa76fafcba	-1.345799e-13 log 2 (1+17/64) bottom bits
247	0ffd2	1	0	7579aa293ec16410a	-5.216949e-14 log 2 (1+19/64) bottom bits
248	0ffcf	0	0	509d7c40d7979ec5b	4.475041e-15 log 2 (1+21/64) bottom bits
249	0ffd3	1	0	4a981811ab5110ccf	-6.625289e-14 log 2 (1+23/64) bottom bits
250	0ffd4	1	0	596f9d730f685c776	-1.588702e-13 log 2 (1+25/64) bottom bits
251	0ffd4	1	0	680cc6bcb9bfa9853	-1.848298e-13 log 2 (1+27/64) bottom bits
252	0ffd4	0	0	5439e15a52a31604a	1.496156e-13 log 2 (1+29/64) bottom bits
253	0ffd4	0	0	7c8080ecc61a98814	2.211599e-13 log 2 (1+31/64) bottom bits
254	0ffd3	1	0	6b26f28dbf40b7bc0	-9.517022e-14 log 2 (1+33/64) bottom bits
255	0ffd5	0	0	554b383b0e8a55627	3.030245e-13 log 2 (1+35/64) bottom bits
256	0ffd5	0	0	47c6ef4a49bc59135	2.550034e-13 log 2 (1+37/64) bottom bits
257	0ffd5	0	0	4d75c658d602e66b0	2.751934e-13 log 2 (1+39/64) bottom bits
258	0ffd4	1	0	6b626820f81ca95da	-1.907530e-13 log 2 (1+41/64) bottom bits
259	0ffd3	0	0	5c833d56efe4338fe	8.216774e-14 log 2 (1+43/64) bottom bits
260	0ffd5	0	0	7c5a0375163ec8d56	4.417857e-13 log 2 (1+45/64) bottom bits
261	0ffd5	1	0	5050809db75675c90	-2.853343e-13 log 2 (1+47/64) bottom bits
262	0ffd4	1	0	7e12f8672e55de96c	-2.239526e-13 log 2 (1+49/64) bottom bits
263	0ffd5	0	0	435ebd376a70d849b	2.393466e-13 log 2 (1+51/64) bottom bits
264	0ffd2	1	0	6492ba487dfb264b3	-4.466345e-14 log 2 (1+53/64) bottom bits
265	0ffd5	1	0	674e5008e379faa7c	-3.670163e-13 log 2 (1+55/64) bottom bits
266	0ffd5	0	0	5077f1f5f0cc82aab	2.858817e-13 log 2 (1+57/64) bottom bits
267	0ffd2	0	0	5007eeaa99f8ef14d	3.554090e-14 log 2 (1+59/64) bottom bits
268	0ffd5	0	0	4a83eb6e0f93f7a64	2.647316e-13 log 2 (1+61/64) bottom bits
269	0ffd3	0	0	466c525173dae9cf5	6.254831e-14 log 2 (1+63/64) bottom bits
270	0badf	0	1	40badfc0badfc0bad	unused
271	0badf	0	1	40badfc0badfc0bad	unused
272	0badf	0	1	40badfc0badfc0bad	unused
273	0badf	0	1	40badfc0badfc0bad	unused
274	0badf	0	1	40badfc0badfc0bad	unused
275	0badf	0	1	40badfc0badfc0bad	unused
276	0badf	0	1	40badfc0badfc0bad	unused
277	0badf	0	1	40badfc0badfc0bad	unused
278	0badf	0	1	40badfc0badfc0bad	unused
279	0badf	0	1	40badfc0badfc0bad	unused
280	0badf	0	1	40badfc0badfc0bad	unused
281	0badf	0	1	40badfc0badfc0bad	unused
282	0badf	0	1	40badfc0badfc0bad	unused
283	0badf	0	1	40badfc0badfc0bad	unused
284	0badf	0	1	40badfc0badfc0bad	unused
285	0badf	0	1	40badfc0badfc0bad	unused
286	0badf	0	1	40badfc0badfc0bad	unused
287	0badf	0	1	40badfc0badfc0bad	unused
288	0badf	0	1	40badfc0badfc0bad	unused
289	0badf	0	1	40badfc0badfc0bad	unused
290	0badf	0	1	40badfc0badfc0bad	unused
291	0badf	0	1	40badfc0badfc0bad	unused
292	0badf	0	1	40badfc0badfc0bad	unused
293	0badf	0	1	40badfc0badfc0bad	unused
294	0badf	0	1	40badfc0badfc0bad	unused
295	0badf	0	1	40badfc0badfc0bad	unused
296	0badf	0	1	40badfc0badfc0bad	unused
297	0badf	0	1	40badfc0badfc0bad	unused
298	0badf	0	1	40badfc0badfc0bad	unused
299	0badf	0	1	40badfc0badfc0bad	unused
300	0badf	0	1	40badfc0badfc0bad	unused
301	0badf	0	1	40badfc0badfc0bad	unused
302	0badf	0	1	40badfc0badfc0bad	unused
303	0badf	0	1	40badfc0badfc0bad	unused Notes and references In this blog post, I'm looking at the "P5" version o
