case_id	instruction	mode	input_se	input_sig	result0_se	result0_sig	result1_se	result1_sig	skylake_sw	provenance
GM00	fptan	ru	3ffc	bda025e336cd4273	3ffc	bfd2c2891670233e	3fff	8000000000000000	3220	skylake_h384
GM01	fptan	ru	bffc	bda025e336cd4273	bffc	bfd2c2891670233d	3fff	8000000000000000	3020	skylake_h384
GM02	fptan	ru	3ffc	bda025e336cd4274	3ffc	bfd2c2891670233f	3fff	8000000000000000	3220	skylake_h384
GM03	fptan	ru	bffc	bda025e336cd4274	bffc	bfd2c2891670233e	3fff	8000000000000000	3020	skylake_h384
GM04	fptan	ru	3ffc	bda025e336cd4275	3ffc	bfd2c28916702340	3fff	8000000000000000	3220	skylake_h384
GM05	fptan	ru	bffc	bda025e336cd4275	bffc	bfd2c2891670233f	3fff	8000000000000000	3020	skylake_h384
GM00	fsincos	rz	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da292f	3ffe	fb9f863a86f71005	-	model_a844951c
GM01	fsincos	rz	bffc	bda025e336cd4273	bffc	bc8b2d3768da292f	3ffe	fb9f863a86f71005	-	model_a844951c
GM02	fsincos	rz	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2930	3ffe	fb9f863a86f71005	-	model_a844951c
GM03	fsincos	rz	bffc	bda025e336cd4274	bffc	bc8b2d3768da2930	3ffe	fb9f863a86f71005	-	model_a844951c
GM04	fsincos	rz	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2931	3ffe	fb9f863a86f71004	-	model_a844951c
GM05	fsincos	rz	bffc	bda025e336cd4275	bffc	bc8b2d3768da2931	3ffe	fb9f863a86f71004	-	model_a844951c
GM00	fsin	rz	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da292f	-	-	-	model_a844951c
GM01	fsin	rz	bffc	bda025e336cd4273	bffc	bc8b2d3768da292f	-	-	-	model_a844951c
GM02	fsin	rz	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2930	-	-	-	model_a844951c
GM03	fsin	rz	bffc	bda025e336cd4274	bffc	bc8b2d3768da2930	-	-	-	model_a844951c
GM04	fsin	rz	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2931	-	-	-	model_a844951c
GM05	fsin	rz	bffc	bda025e336cd4275	bffc	bc8b2d3768da2931	-	-	-	model_a844951c
GM00	fcos	rz	3ffc	bda025e336cd4273	3ffe	fb9f863a86f71005	-	-	-	model_a844951c
GM01	fcos	rz	bffc	bda025e336cd4273	3ffe	fb9f863a86f71005	-	-	-	model_a844951c
GM02	fcos	rz	3ffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	-	model_a844951c
GM03	fcos	rz	bffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	-	model_a844951c
GM04	fcos	rz	3ffc	bda025e336cd4275	3ffe	fb9f863a86f71004	-	-	-	model_a844951c
GM05	fcos	rz	bffc	bda025e336cd4275	3ffe	fb9f863a86f71004	-	-	-	model_a844951c
GM00	fptan	rz	3ffc	bda025e336cd4273	3ffc	bfd2c2891670233d	3fff	8000000000000000	-	model_a844951c
GM01	fptan	rz	bffc	bda025e336cd4273	bffc	bfd2c2891670233d	3fff	8000000000000000	-	model_a844951c
GM02	fptan	rz	3ffc	bda025e336cd4274	3ffc	bfd2c2891670233e	3fff	8000000000000000	-	model_a844951c
GM03	fptan	rz	bffc	bda025e336cd4274	bffc	bfd2c2891670233e	3fff	8000000000000000	-	model_a844951c
GM04	fptan	rz	3ffc	bda025e336cd4275	3ffc	bfd2c2891670233f	3fff	8000000000000000	-	model_a844951c
GM05	fptan	rz	bffc	bda025e336cd4275	bffc	bfd2c2891670233f	3fff	8000000000000000	-	model_a844951c
